Id,Email,Status,Type,Date,Region,Files,Viewable,Original_Index,Filename,Full Path,Found
632498,szh@noc.soton.ac.uk,submitted,topographic,2024-12-19,South West,6eM1-4_20240919tip.txt,,0,6eM1-4_20240919tip.txt,X:/Data/Survey_Topo/Phase4\TSW_IoS\6e\6eM1-4\6eM1-4_20240919tip\Batch\6eM1-4_20240919tip.txt,Yes
632498,szh@noc.soton.ac.uk,submitted,topographic,2024-12-19,South West,Report_Topo_6eM1-4_20240919.pdf,,0,,,No
632498,szh@noc.soton.ac.uk,submitted,topographic,2024-12-19,South West,6eM1-4_20240919tri.zip,,0,,,No
632497,szh@noc.soton.ac.uk,submitted,topographic,2024-12-19,South West,6eM1-3_20240919tri.zip,,1,,,No
632497,szh@noc.soton.ac.uk,submitted,topographic,2024-12-19,South West,Report_Topo_6eM1-3_20240919.pdf,,1,,,No
632497,szh@noc.soton.ac.uk,submitted,topographic,2024-12-19,South West,6eM1-3_20240919tip.txt,,1,6eM1-3_20240919tip.txt,X:/Data/Survey_Topo/Phase4\TSW_IoS\6e\6eM1-3\6eM1-3_20240919tip\Batch\6eM1-3_20240919tip.txt,Yes
632496,szh@noc.soton.ac.uk,submitted,topographic,2024-12-19,South West,6eM12_20240919tip.txt,,2,6eM12_20240919tip.txt,X:/Data/Survey_Topo/Phase4\TSW_IoS\6e\6eM12\6eM12_20240919tip\Batch\6eM12_20240919tip.txt,Yes
632496,szh@noc.soton.ac.uk,submitted,topographic,2024-12-19,South West,Report_Topo_6eM12_20240919.pdf,,2,,,No
632496,szh@noc.soton.ac.uk,submitted,topographic,2024-12-19,South West,6eM12_20240919tri.zip,,2,,,No
632495,szh@noc.soton.ac.uk,submitted,topographic,2024-12-19,South West,6eB4_20240921tip.txt,,3,6eB4_20240921tip.txt,X:/Data/Survey_Topo/Phase4\TSW_IoS\6e\6eB4\6eB4_20240921tip\Batch\6eB4_20240921tip.txt,Yes
632495,szh@noc.soton.ac.uk,submitted,topographic,2024-12-19,South West,Report_Topo_6eB4_20240921.pdf,,3,,,No
632495,szh@noc.soton.ac.uk,submitted,topographic,2024-12-19,South West,6eB4_20240921tri.zip,,3,,,No
632494,szh@noc.soton.ac.uk,submitted,topographic,2024-12-19,South West,6eB3-3_20240921tri.zip,,4,,,No
